,on_street_name,total_injured,total_killed,accidents
234,154 Place,0.0,0.0,1
235,154 Street,2.0,0.0,5
236,154-05 Rockaway Boulevard,0.0,0.0,1
237,155 Street,2.0,0.0,2
238,155-07 114 Road,0.0,0.0,1
239,155-11 146 Avenue,2.0,0.0,1
240,156 Street,2.0,0.0,1
241,156-11 North Conduit Avenue,0.0,0.0,1
242,157 Street,2.0,0.0,3
243,158-15 75 Avenue,0.0,0.0,1
244,158-47 102 Street,2.0,0.0,1
245,159 Street,2.0,0.0,2
246,16 Avenue,4.0,0.0,2
247,160 Street,0.0,0.0,3
248,160-07 108 Avenue,0.0,0.0,1
249,160-10 Cross Bay Boulevard,0.0,0.0,1
250,160-13 109 Avenue,0.0,0.0,1
251,160-15 108 Avenue,0.0,0.0,1
252,160-28 Baisley Boulevard,0.0,0.0,1
253,160-33 Claude Avenue,0.0,0.0,1
254,161 Street,0.0,0.0,1
255,161-16 45 Avenue,0.0,0.0,1
256,162-11 89 Avenue,2.0,0.0,1
257,163 Avenue,2.0,0.0,1
258,163 Street,0.0,0.0,3
259,163-26 Jamaica Avenue,0.0,0.0,1
260,164 Street,6.0,1.0,6
261,164-33 Cross Bay Boulevard,0.0,0.0,1
262,165 Street,2.0,0.0,6
263,166-02 Baisley Boulevard,2.0,0.0,2
264,166-02 Jamaica Avenue,4.0,0.0,2
265,167 Street,2.0,0.0,4
266,168 Street,6.0,0.0,4
267,168-27 Baisley Boulevard,0.0,0.0,1
268,168-30B Jamaica Avenue,0.0,0.0,1
269,168-32 Highland Avenue,0.0,0.0,1
270,169 Street,0.0,0.0,3
271,17 Avenue,0.0,0.0,3
272,17 Street,0.0,0.0,2
273,17-11 New Haven Avenue,2.0,0.0,1
274,170 Street,0.0,0.0,3
275,170-10 Foch Boulevard,0.0,0.0,1
276,171 Street,0.0,0.0,1
277,171-10 Crocheron Avenue,0.0,0.0,1
278,172 Street,2.0,0.0,2
279,172-11 89 Avenue,0.0,0.0,1
280,172-63 125 Avenue,0.0,0.0,1
281,173 Street,0.0,0.0,2
282,173-08 108 Avenue,2.0,0.0,1
283,175 Street,0.0,0.0,1
284,175-03 Horace Harding Expressway,0.0,0.0,1
285,175-20 Hillside Avenue,2.0,0.0,1
286,175-30 Horace Harding Expressway,0.0,0.0,1
287,176 Street,0.0,0.0,1
288,177-11 145 Road,0.0,0.0,1
289,177-18 119 Road,0.0,0.0,1
290,177-37 105 Avenue,0.0,0.0,1
291,178-20 147 Avenue,2.0,0.0,1
292,178-27 107 Avenue,0.0,0.0,1
293,179 Street,0.0,0.0,1
294,179-15 Croydon Road,0.0,0.0,1
295,179-30 93 Avenue,0.0,0.0,1
296,18 Avenue,4.0,0.0,10
297,18 Street,2.0,0.0,1
298,18-03 26 Road,0.0,0.0,1
299,18-07 Astoria Boulevard,0.0,0.0,1
300,180 Street,2.0,0.0,3
301,180-01 144 Avenue,0.0,0.0,1
302,182 Street,0.0,0.0,1
303,182-11 North Conduit Avenue,2.0,0.0,1
304,184 Place,4.0,0.0,2
305,187-10 Hillside Avenue,0.0,0.0,1
306,187-30 Grand Central Parkway,0.0,0.0,1
307,188 Street,4.0,0.0,7
308,189 Street,2.0,0.0,2
309,189-13 Jamaica Avenue,0.0,0.0,1
310,189-23 Union Turnpike,2.0,0.0,1
311,19 Avenue,2.0,0.0,2
