,latitude,longitude,accidents,total_injured,total_killed
158,40.533882,-74.16230999999998,2,4.0,0.0
159,40.534267,-74.15398,3,0.0,0.0
160,40.534492,-74.20405,1,0.0,0.0
161,40.534813,-74.194115,1,2.0,0.0
162,40.534943,-74.20789,1,0.0,0.0
163,40.535046,-74.235916,1,0.0,0.0
164,40.535168,-74.196175,1,2.0,0.0
165,40.535354999999996,-74.15594,1,0.0,0.0
166,40.53541,-74.19216,1,2.0,0.0
167,40.535458,-74.152626,1,0.0,0.0
168,40.535484000000004,-74.20598000000003,1,0.0,0.0
169,40.53553400000001,-74.17886999999997,1,2.0,0.0
170,40.53555,-74.18196999999998,1,0.0,0.0
171,40.535736,-74.16379,1,0.0,0.0
172,40.535835,-74.19648000000002,2,0.0,0.0
173,40.535835,-74.19378,2,2.0,0.0
174,40.535920000000004,-74.15968000000002,1,0.0,0.0
175,40.53595,-74.21171600000002,1,2.0,0.0
176,40.53599000000001,-74.21719,1,0.0,0.0
177,40.536246999999996,-74.23940999999998,1,0.0,0.0
178,40.53634,-74.20836,1,2.0,0.0
179,40.536503,-74.19681,1,0.0,0.0
180,40.536507,-74.1941,2,2.0,0.0
181,40.536522,-74.23744,1,0.0,0.0
182,40.536728000000004,-74.193344,1,0.0,0.0
183,40.53699500000001,-74.22429,1,0.0,0.0
184,40.537116999999995,-74.166985,1,0.0,0.0
185,40.537125,-74.14902,1,0.0,0.0
186,40.53717,-74.20532,1,2.0,0.0
187,40.537262,-74.15051,2,2.0,0.0
188,40.537273,-74.23084,1,0.0,0.0
189,40.53729000000001,-74.22330500000002,1,0.0,0.0
190,40.537420000000004,-74.174904,1,2.0,0.0
191,40.537457,-74.22136,1,0.0,0.0
192,40.5376,-74.18290999999998,1,0.0,0.0
193,40.5377,-74.15002,4,2.0,0.0
194,40.537704,-74.23724,1,0.0,0.0
195,40.537715999999996,-74.167465,2,0.0,0.0
196,40.537857,-74.17414000000002,2,4.0,0.0
197,40.5379,-74.15915,2,0.0,0.0
198,40.53819,-74.148315,1,0.0,0.0
199,40.538334000000006,-74.15956,1,2.0,0.0
200,40.53842,-74.23742,1,2.0,0.0
201,40.538486,-74.19508,1,2.0,0.0
202,40.53861,-74.14345,1,2.0,0.0
203,40.538624,-74.23743,1,0.0,0.0
204,40.538647,-74.17161,1,0.0,0.0
205,40.538727,-74.20515999999998,1,0.0,0.0
206,40.53884,-74.151794,1,0.0,0.0
207,40.539177,-74.19543,1,0.0,0.0
208,40.53921500000001,-74.20076,1,0.0,0.0
209,40.539229999999996,-74.17093,1,0.0,0.0
210,40.539265,-74.18960600000003,1,2.0,0.0
211,40.539474,-74.175095,1,0.0,0.0
212,40.539516,-74.18056,1,0.0,0.0
213,40.53957,-74.183846,1,0.0,0.0
214,40.539577,-74.18576999999998,1,0.0,0.0
215,40.53968,-74.21768,1,0.0,0.0
216,40.539845,-74.17724,1,2.0,0.0
217,40.539898,-74.16103000000003,3,0.0,0.0
218,40.539906,-74.18686,1,2.0,0.0
219,40.539936,-74.18992,1,2.0,0.0
220,40.54009600000001,-74.16901999999997,2,2.0,0.0
221,40.54013,-74.21769,1,0.0,0.0
222,40.5404,-74.160126,1,0.0,0.0
223,40.540447,-74.165,1,0.0,0.0
224,40.540577,-74.20676,2,4.0,0.0
225,40.5409,-74.177925,1,0.0,0.0
226,40.540928,-74.17737,1,0.0,0.0
227,40.540997,-74.18181,1,0.0,0.0
228,40.54101,-74.14711,3,4.0,0.0
229,40.54108400000001,-74.18849,1,0.0,0.0
230,40.541126,-74.21777,2,0.0,0.0
231,40.54115,-74.23754,1,2.0,0.0
232,40.541153,-74.16333,1,0.0,0.0
233,40.541171999999996,-74.19641,1,0.0,0.0
234,40.541176,-74.185776,1,2.0,0.0
235,40.541264,-74.201675,1,0.0,0.0
236,40.541313,-74.17734499999997,1,0.0,0.0
237,40.541325,-74.20984,1,0.0,0.0
238,40.541363,-74.22385,1,0.0,0.0
239,40.541378,-74.16979,1,0.0,0.0
240,40.541393,-74.14464,1,0.0,0.0
241,40.5415,-74.16254,1,0.0,0.0
242,40.541553,-74.209785,1,0.0,0.0
243,40.54167,-74.20798,1,2.0,0.0
244,40.54183,-74.21800999999998,1,0.0,0.0
245,40.541885,-74.19385,1,0.0,0.0
246,40.541916,-74.17744,1,2.0,0.0
247,40.541954,-74.14535500000002,1,2.0,0.0
248,40.54201,-74.171265,1,0.0,0.0
249,40.542038,-74.159454,1,0.0,0.0
250,40.542152,-74.1708,1,0.0,0.0
251,40.542233,-74.17175999999998,1,0.0,0.0
252,40.542336,-74.173874,1,0.0,0.0
253,40.542408,-74.23671,1,2.0,0.0
