u,v,key,osmid,oneway,highway,length,geometry,lanes,ref,name,maxspeed,bridge,dangerosity,tunnel,access
60925716,60918686,0,"[121772576, 46591081, 46590474, 492431794, 492431796, 491675612, 491675613]",True,motorway,573.7819999999999,"LINESTRING (-73.9332979 40.847227, -73.93353980000001 40.8473235, -73.9338461 40.8474483, -73.9341232 40.8475633, -73.93419609999999 40.8475944, -73.9346433 40.8477798, -73.93496570000001 40.8479176, -73.9352801 40.8480453, -73.93566389999999 40.848203, -73.93695460000001 40.8487215, -73.93718029999999 40.8487947, -73.937398 40.8488459, -73.9393565 40.8492028, -73.9395205 40.8492533)",3,I 95;US 1,Trans-Manhattan Expressway,,,0.7819999999999254,"['building_passage', 'yes']",
60918686,60926787,0,8119569,True,motorway_link,223.76099999999994,"LINESTRING (-73.9395205 40.8492533, -73.9398604 40.8493565, -73.9400019 40.8493957, -73.9405569 40.8495224, -73.9406398 40.849542, -73.94071 40.849564, -73.94077059999999 40.8495902, -73.9408224 40.8496209, -73.9408591 40.8496522, -73.9408925 40.8496889, -73.9409206 40.849732, -73.94094250000001 40.8497778, -73.9409555 40.8498276, -73.9409611 40.8498798, -73.9409562 40.8499312, -73.9409443 40.8499833, -73.9409149 40.8500667, -73.9408933 40.8501349, -73.9408832 40.8501876, -73.9408785 40.8502372, -73.9408802 40.8502878, -73.9408904 40.850334, -73.94090679999999 40.8503804, -73.9409249 40.8504174, -73.9409473 40.8504508, -73.940978 40.8504865, -73.94101120000001 40.8505201)",2,,,,,0.7609999999999388,,
60926787,60926791,0,538831851,True,motorway_link,98.84800000000001,"LINESTRING (-73.94101120000001 40.8505201, -73.94105759999999 40.8505544, -73.9411096 40.8505864, -73.9411642 40.8506149, -73.9412215 40.8506396, -73.94127760000001 40.8506608, -73.9413342 40.8506755, -73.94139130000001 40.8506856, -73.9414496 40.8506918, -73.94150670000001 40.8506936, -73.9415643 40.8506941, -73.94162 40.8506895, -73.9416729 40.8506809, -73.94173050000001 40.8506677, -73.9417929 40.850649, -73.9418522 40.8506265, -73.94191240000001 40.8506013, -73.94196580000001 40.8505745, -73.94201510000001 40.8505465, -73.94205959999999 40.8505185)",2,,,,,0.8480000000000132,,
60926791,595441949,0,"[538831851, 46588502]",True,motorway_link,436.346,"LINESTRING (-73.94205959999999 40.8505185, -73.94211780000001 40.8504734, -73.9421717 40.850426, -73.94222240000001 40.850378, -73.9422685 40.8503317, -73.9423122 40.8502836, -73.94235380000001 40.8502321, -73.9423898 40.8501839, -73.9424246 40.8501335, -73.94246219999999 40.8500699, -73.942497 40.8500004, -73.94252520000001 40.8499308, -73.94260010000001 40.8497197, -73.9426363 40.8496125, -73.94267739999999 40.8494825, -73.9427532 40.8492354, -73.94277769999999 40.8491503, -73.942941 40.8485125, -73.9430974 40.8479053, -73.94317890000001 40.8475791, -73.9431934 40.8475, -73.9432049 40.8474134, -73.9432248 40.8472475, -73.9432341 40.8471638, -73.9432415 40.8470846, -73.9432549 40.846918, -73.9432631 40.8467543)",2,,,,yes,0.34600000000000364,,
595441949,60926905,0,767990670,True,motorway_link,82.29,"LINESTRING (-73.9432631 40.8467543, -73.94326150000001 40.8465894, -73.9432587 40.8464262, -73.9432602 40.8463412, -73.9432635 40.8462606, -73.9432709 40.8461796, -73.9432814 40.8460958, -73.94329449999999 40.8460155)",2,,,,yes,0.29000000000000625,,
60926905,60927291,0,46587570,True,motorway_link,32.169,"LINESTRING (-73.94329449999999 40.8460155, -73.9433329 40.8459385, -73.94337160000001 40.8458766, -73.943415 40.8458138, -73.9434615 40.845756)",,,,,yes,0.16899999999999693,,
60927291,60928402,0,"[8119608, 46587579]",True,motorway_link,583.169,"LINESTRING (-73.9434615 40.845756, -73.94349579999999 40.845641, -73.94358680000001 40.8455248, -73.9436448 40.8454767, -73.94370019999999 40.8454391, -73.9437557 40.8454092, -73.9438202 40.8453796, -73.9438914 40.8453522, -73.9439611 40.8453283, -73.944064 40.8452955, -73.94418020000001 40.8452587, -73.9445085 40.845154, -73.9445977 40.8451218, -73.9446808 40.8450865, -73.9447629 40.8450441, -73.9448278 40.8450057, -73.9448811 40.8449693, -73.9449236 40.8449364, -73.94496479999999 40.8448989, -73.9450056 40.8448568, -73.94504480000001 40.8448106, -73.945081 40.8447628, -73.9451126 40.8447147, -73.94514479999999 40.8446616, -73.9451682 40.8446195, -73.9451923 40.8445702, -73.9452189 40.8445104, -73.9452433 40.8444475, -73.945261 40.8443919, -73.94527720000001 40.8443313, -73.9452924 40.8442356, -73.9452996 40.8441743, -73.9453007 40.8441305, -73.94530469999999 40.8440171, -73.9453139 40.8435747, -73.94532460000001 40.8433527, -73.9453441 40.8431223, -73.94536960000001 40.8429114, -73.9454041 40.8426952, -73.9454417 40.842468, -73.94548690000001 40.8422335, -73.9455325 40.8420355, -73.945587 40.8418306, -73.94563890000001 40.8416374, -73.94570419999999 40.8414221, -73.9457735 40.8412228)",,,,,yes,0.16899999999998272,,
60928402,254342115,0,"[46577963, 46577964, 122738271]",True,motorway,1147.469,"LINESTRING (-73.9457735 40.8412228, -73.9458618 40.8410297, -73.9459556 40.8408398, -73.9460586 40.8406466, -73.9461695 40.8404496, -73.94628470000001 40.8402597, -73.9464054 40.8400733, -73.9465325 40.8398914, -73.94667010000001 40.8397037, -73.9468044 40.8395255, -73.94694749999999 40.8393482, -73.9470946 40.8391715, -73.94724789999999 40.8389937, -73.94739730000001 40.8388247, -73.94755189999999 40.8386546, -73.94771 40.8384879, -73.94787410000001 40.8383154, -73.94806800000001 40.8381148, -73.94839229999999 40.8377812, -73.9485383 40.8376272, -73.9486323 40.8375277, -73.94872429999999 40.837419, -73.9487985 40.8373293, -73.948876 40.8372254, -73.94894309999999 40.837128, -73.9490053 40.8370294, -73.94907019999999 40.8369179, -73.94912669999999 40.8368041, -73.9491666 40.836719, -73.949215 40.8365939, -73.94925430000001 40.8364818, -73.9492858 40.836378, -73.9501588 40.8334069, -73.9503977 40.8325993, -73.95052339999999 40.832173, -73.9505908 40.8319507, -73.95066009999999 40.8317357)",3,HHP;NY 9A,Henry Hudson Parkway,,yes,0.46900000000005093,,
254342115,587934436,0,46577963,True,motorway,123.059,"LINESTRING (-73.95066009999999 40.8317357, -73.95073549999999 40.8315213, -73.9508153 40.8313071, -73.95089849999999 40.8310952, -73.9509865 40.8308887, -73.9510824 40.8306765)",3,HHP;NY 9A,Henry Hudson Parkway,,,0.0589999999999975,,
587934436,254342293,0,"[278707978, 46577963, 278707980, 46568293]",True,motorway,1055.362,"LINESTRING (-73.9510824 40.8306765, -73.951183 40.8304738, -73.9512871 40.8302733, -73.95140290000001 40.8300716, -73.9515274 40.829869, -73.95165470000001 40.8296741, -73.95178129999999 40.829493, -73.95192590000001 40.8292915, -73.95208100000001 40.8290818, -73.9522132 40.8289148, -73.952388 40.828714, -73.9525316 40.8285535, -73.95427599999999 40.8266776, -73.9554342 40.8254311, -73.9555979 40.8252551, -73.9557671 40.8250688, -73.9559277 40.8248882, -73.95607339999999 40.8247171, -73.9562316 40.8245242, -73.95637120000001 40.8243479, -73.95651239999999 40.8241665, -73.95769300000001 40.8226363)",3,HHP;NY 9A,Henry Hudson Parkway,,yes,0.36200000000008004,,
254342293,254484327,0,"[22941409, 46568339, 46568293]",True,motorway,974.2239999999999,"LINESTRING (-73.95769300000001 40.8226363, -73.9587247 40.8212995, -73.9588691 40.8211132, -73.9590213 40.820919, -73.9591734 40.8207303, -73.95933479999999 40.820538, -73.95948970000001 40.8203583, -73.9606084 40.8190926, -73.9607785 40.8189025, -73.9609504 40.8187197, -73.9611201 40.818544, -73.96129740000001 40.8183663, -73.9614703 40.8181967, -73.9616547 40.8180204, -73.96180099999999 40.8178802, -73.96253830000001 40.8171721, -73.9627189 40.8169997, -73.9628934 40.8168282, -73.9630666 40.8166538, -73.9632306 40.8164791, -73.9633955 40.8162994, -73.96355509999999 40.8161208, -73.9637108 40.8159398, -73.9638624 40.8157541, -73.964009 40.8155693, -73.9641546 40.8153803)",3,HHP;NY 9A,Henry Hudson Parkway,,yes,0.2239999999999327,,
