u,v,key,osmid,oneway,highway,length,geometry,lanes,ref,name,maxspeed,bridge,dangerosity,tunnel,access
511252384,106657366,0,25482340,True,motorway,462.02199999999993,"LINESTRING (-73.83625050000001 40.734951, -73.8362824 40.7351103, -73.83631080000001 40.7352721, -73.8363301 40.735438, -73.8363475 40.735613, -73.8363659 40.7358334, -73.8364856 40.7374984, -73.8365022 40.7376651, -73.8365209 40.7378298, -73.8365426 40.7380036, -73.8365672 40.7381604, -73.8365975 40.7383328, -73.8366285 40.7384904, -73.83666460000001 40.7386557, -73.8367025 40.7388107, -73.83673690000001 40.7389411, -73.836776 40.739082)",3,I 678,Van Wyck Expressway,,,0.021999999999934516,,
106657366,106658397,0,25430129,True,motorway,233.462,"LINESTRING (-73.836776 40.739082, -73.8368297 40.7392741, -73.8371535 40.7403674, -73.8373787 40.7411313)",3,I 678,Van Wyck Expressway,50 mph,yes,0.4619999999999891,,
106658397,42802502,0,"[46732536, 5700548]",True,motorway_link,633.0150000000001,"LINESTRING (-73.8373787 40.7411313, -73.8374415 40.7417017, -73.837447 40.7417758, -73.83744919999999 40.7418397, -73.8374481 40.7419074, -73.83744179999999 40.7419808, -73.837431 40.7420476, -73.8374127 40.7421196, -73.837389 40.7421942, -73.8373564 40.7422732, -73.8373211 40.742344, -73.8372813 40.7424096, -73.8372334 40.7424758, -73.8371763 40.742546, -73.8371147 40.7426149, -73.8369038 40.742831, -73.8368625 40.7428754, -73.83682229999999 40.7429268, -73.8367879 40.7429832, -73.8367634 40.7430366, -73.83674360000001 40.743092, -73.83673090000001 40.7431528, -73.83672489999999 40.7432117, -73.8367257 40.7432728, -73.8367349 40.7433304, -73.8367504 40.7433914, -73.8367732 40.743449, -73.8368054 40.7435091, -73.83684529999999 40.7435634, -73.8368875 40.7436122, -73.83693820000001 40.7436617, -73.837 40.7437096, -73.8370721 40.7437531, -73.8371437 40.7437893, -73.8372178 40.743819, -73.8372902 40.7438411, -73.8373761 40.7438621, -73.8374627 40.7438753, -73.83754380000001 40.7438812, -73.83761869999999 40.7438818, -73.83769789999999 40.7438757, -73.8377723 40.7438642, -73.8378586 40.7438454, -73.8379393 40.7438198, -73.83801579999999 40.7437888, -73.8380915 40.7437521, -73.8382419 40.7436769, -73.8397514 40.7429293, -73.84032929999999 40.7426569)",1,,,50 mph,yes,0.015000000000100044,,
42802502,42802490,0,"[46732537, 5700765]",True,motorway_link,307.421,"LINESTRING (-73.84032929999999 40.7426569, -73.8406967 40.7424735, -73.84220089999999 40.7417152, -73.8424181 40.7416001, -73.843338 40.7410935)",,,,50 mph,yes,0.42099999999999227,,
42802490,42795228,0,"[46731407, 42790066, 42790074, 41647207]",True,motorway,701.8439999999999,"LINESTRING (-73.843338 40.7410935, -73.8450622 40.7402631, -73.8459792 40.7398219, -73.8476387 40.7390247, -73.84785770000001 40.7389209, -73.84810229999999 40.7388071, -73.8482217 40.738752, -73.8484634 40.7386437, -73.8487117 40.7385356, -73.8489524 40.7384332, -73.8492074 40.7383292, -73.8494551 40.7382312, -73.84971470000001 40.7381346, -73.84996099999999 40.7380454, -73.8502245 40.7379553, -73.85048949999999 40.7378709)",3,I 495,Long Island Expressway,50 mph,yes,0.8439999999999372,,
42795228,535055283,0,"[46731440, 46731433, 122741163]",True,motorway,213.86,"LINESTRING (-73.85048949999999 40.7378709, -73.85075000000001 40.7377832, -73.8510024 40.7377017, -73.8512795 40.7376156, -73.85155039999999 40.7375335, -73.8517897 40.7374633, -73.85205139999999 40.7373917, -73.8522871 40.7373331, -73.85257989999999 40.7372624, -73.8528653 40.737199)",4,I 495,Long Island Expressway,50 mph,yes,0.8600000000000136,,
535055283,597363495,0,46731440,True,motorway,600.3040000000001,"LINESTRING (-73.8528653 40.737199, -73.85312020000001 40.7371467, -73.8533777 40.7370976, -73.8536323 40.7370522, -73.8538965 40.7370093, -73.8541829 40.7369646, -73.8544414 40.7369236, -73.8547042 40.7368787, -73.8549737 40.7368278, -73.855234 40.7367741, -73.8554931 40.7367189, -73.8557514 40.7366592, -73.85602230000001 40.7365925, -73.8562625 40.73653, -73.8565167 40.7364598, -73.8567796 40.7363831, -73.85702980000001 40.7363078, -73.8596271 40.7355346)",4,I 495,Long Island Expressway,50 mph,,0.3040000000000873,,
597363495,535054432,0,"[46728970, 46728971, 46728974, 122741166, 46728975]",True,motorway,974.2669999999999,"LINESTRING (-73.8596271 40.7355346, -73.8605513 40.7352413, -73.8608156 40.7351619, -73.86159840000001 40.7349305, -73.86423859999999 40.7341431, -73.8647806 40.7339816, -73.8676442 40.7330445, -73.8693292 40.7325129, -73.8703178 40.7321984)",3,I 495,Long Island Expressway,50 mph,yes,0.26699999999993906,,
535054432,597363867,0,"[46729060, 46728998, 46728999, 587038024, 46729062, 42790101, 46729014, 46729049, 46728985]",True,motorway,1695.0870000000002,"LINESTRING (-73.8703178 40.7321984, -73.87083389999999 40.732038, -73.87157310000001 40.7318082, -73.8740372 40.7310663, -73.8762899 40.7303779, -73.87683060000001 40.7302023, -73.8773199 40.7300267, -73.8778552 40.7298104, -73.879074 40.7293096, -73.879589 40.7291144, -73.8801212 40.7289583, -73.88067909999999 40.7288347, -73.8812198 40.7287502, -73.8818406 40.7286862, -73.8823877 40.7286537, -73.88455 40.7284835, -73.8852399 40.7284159, -73.8857031 40.7283302, -73.8860437 40.7282542, -73.8865155 40.7281063, -73.88704420000001 40.7279222, -73.88738739999999 40.7277918, -73.8878373 40.7275599, -73.88828359999999 40.7273127, -73.8889612 40.7269538)",3,I 495,Long Island Expressway,50 mph,yes,0.08700000000021646,,
597363867,597328292,0,122741147,True,motorway,1062.799,"LINESTRING (-73.8889612 40.7269538, -73.8898571 40.7264111, -73.89017490000001 40.7262464, -73.8905022 40.7260929, -73.8910668 40.7258622, -73.89152540000001 40.7257169, -73.89198810000001 40.725597, -73.8926077 40.7254801, -73.89321390000001 40.7254028, -73.8936685 40.7253754, -73.8942371 40.7253652, -73.89478029999999 40.7253917, -73.895369 40.7254486, -73.8978098 40.7256681, -73.90029629999999 40.7258988, -73.90098020000001 40.7259618)",4,I 495,Long Island Expressway,50 mph,,0.7989999999999782,,
597328292,597325451,0,122741147,True,motorway,107.432,"LINESTRING (-73.90098020000001 40.7259618, -73.90224619999999 40.7260757)",4,I 495,Long Island Expressway,50 mph,,0.43200000000000216,,
597325451,597324671,0,"[46725904, 46725283, 46725903]",True,motorway_link,734.0129999999999,"LINESTRING (-73.90224619999999 40.7260757, -73.9033889 40.7262379, -73.9039039 40.7263355, -73.9046657 40.726555, -73.90542739999999 40.7268234, -73.9061355 40.7271242, -73.9067685 40.7274657, -73.9071118 40.7276852, -73.9077127 40.7280348, -73.90979400000001 40.7291731)",1,,,,yes,0.012999999999919964,,
597324671,277386525,0,"[46725285, 46725286, 46725287, 46725903, 46725275]",True,motorway_link,914.6950000000002,"LINESTRING (-73.90979400000001 40.7291731, -73.91045920000001 40.7295145, -73.9112317 40.7298316, -73.9119613 40.730043, -73.9139461 40.7305389, -73.9155018 40.7309698, -73.9158666 40.7310755, -73.9173579 40.7314902, -73.918184 40.7317341, -73.91877409999999 40.731978, -73.9192247 40.7322381, -73.9195806 40.7325476)",,,,55 mph,yes,0.6950000000001637,,
277386525,42794848,0,5700284,True,motorway_link,157.12,"LINESTRING (-73.9195806 40.7325476, -73.9197946 40.7327857, -73.9199904 40.7330255, -73.92037019999999 40.7335427, -73.92053079999999 40.7337623)",,,,,,0.12000000000000455,,
